,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
750,Nelson Annandale,[X] died in [Y] .,Kolkata,"Thomas Nelson Annandale CIE FRSE (15 June 1876 in Edinburgh – 10 April 1924 in [MASK]) was a Scottish zoologist, entomologist, anthropologist, and herpetologist.","Thomas Nelson Annandale CIE FRSE (15 June 1876 in Edinburgh – 10 April 1924 in Kolkata) was a Scottish zoologist, entomologist, anthropologist, and herpetologist.","['Thomas Nelson Annandale CIE FRSE (15 June 1876 in Edinburgh – 10 April 1924 in Kolkata) was a Scottish zoologist, entomologist, anthropologist, and herpetologist.']","['Thomas Nelson Annandale CIE FRSE (15 June 1876 in Edinburgh – 10 April 1924 in Kolkata) was a Scottish zoologist, entomologist, anthropologist, and herpetologist.']"
751,Nikephoros I of Constantinople,[X] died in [Y] .,Constantinople,He also translated the works of Patriarch Nikephoros I of [MASK] as well as the Pentateuch.,He also translated the works of Patriarch Nikephoros I of Constantinople as well as the Pentateuch.,,
752,John Rudolphus Booth,[X] died in [Y] .,Ottawa,"In the late 19th century and the early 20th century, it was one of the most prestigious addresses in [MASK] being home address of Ottawa's mayor Thomas Birkett (306 Metcalfe, Embassy of the Republic of Hungary in Ottawa), Canada's lumber and railroad baron John Rudolphus Booth (252 Metcalfe, Booth House), inventor Thomas Willson a.k.a.","In the late 19th century and the early 20th century, it was one of the most prestigious addresses in Ottawa being home address of Ottawa's mayor Thomas Birkett (306 Metcalfe, Embassy of the Republic of Hungary in Ottawa), Canada's lumber and railroad baron John Rudolphus Booth (252 Metcalfe, Booth House), inventor Thomas Willson a.k.a.","[""In the late 19th century and the early 20th century, it was one of the most prestigious addresses in Ottawa being home address of Ottawa's mayor Thomas Birkett (306 Metcalfe, Embassy of the Republic of Hungary in Ottawa), Canada's lumber and railroad baron John Rudolphus Booth (252 Metcalfe, Booth House), inventor Thomas Willson a.k.a.""]","[""In the late 19th century and the early 20th century, it was one of the most prestigious addresses in Ottawa being home address of Ottawa's mayor Thomas Birkett (306 Metcalfe, Embassy of the Republic of Hungary in Ottawa), Canada's lumber and railroad baron John Rudolphus Booth (252 Metcalfe, Booth House), inventor Thomas Willson a.k.a.""]"
753,Guido Adler,[X] died in [Y] .,Vienna,"He was born in Prague, and studied in [MASK] under Guido Adler and František Ondříček, afterward working as a composer and music teacher in Prague.","He was born in Prague, and studied in Vienna under Guido Adler and František Ondříček, afterward working as a composer and music teacher in Prague.","['he was born in prague and studied under guido adler and frantiek ondek in vienna after which he worked as a composer and musician in prague', 'he was born in prague and studied in vienna under guido adler and frantiek ondek before moving to prague to work as a composer and music teacher']","['he was born in prague and studied under guido adler and frantiek ondek in vienna after which he worked as a composer and musician in prague', 'he was born in prague and studied in vienna under guido adler and frantiek ondek before moving to prague to work as a composer and music teacher']"
754,Tom Eckersley,[X] died in [Y] .,London,"Milton first studied Art at Emanuel School then at Hammersmith College of Art under Ruskin Spear and under Tom Eckersley at the [MASK] College of Printing, graduating in 1974.","Milton first studied Art at Emanuel School then at Hammersmith College of Art under Ruskin Spear and under Tom Eckersley at the London College of Printing, graduating in 1974.","['Milton first studied Art at Emanuel School then at Hammersmith College of Art under Ruskin Spear and under Tom Eckersley at the London College of Printing, graduating in 1974.']","['Milton first studied Art at Emanuel School then at Hammersmith College of Art under Ruskin Spear and under Tom Eckersley at the London College of Printing, graduating in 1974.']"
755,Nam June Paik,[X] died in [Y] .,Miami,"The video emphasizes that television compliments memory and that TV monitors are sites of memory and of emotionality, a theme that is suggested in Shigeko Kubota's video eulogies to Nam June Paik in the 1980s and 1990s, Korean Grave, and Winter in [MASK].","The video emphasizes that television compliments memory and that TV monitors are sites of memory and of emotionality, a theme that is suggested in Shigeko Kubota's video eulogies to Nam June Paik in the 1980s and 1990s, Korean Grave, and Winter in Miami.","[""The video emphasizes that television compliments memory and that TV monitors are sites of memory and of emotionality, a theme that is suggested in Shigeko Kubota's video eulogies to Nam June Paik in the 1980s and 1990s, Korean Grave, and Winter in Miami.""]","[""The video emphasizes that television compliments memory and that TV monitors are sites of memory and of emotionality, a theme that is suggested in Shigeko Kubota's video eulogies to Nam June Paik in the 1980s and 1990s, Korean Grave, and Winter in Miami.""]"
756,Michael IX Palaiologos,[X] died in [Y] .,Thessaloniki,"Michael IX Palaiologos or Palaeologus (Greek: Μιχαήλ Θ΄ Παλαιολόγος, Mikhaēl IX Palaiologos), (17 April 1277 – 12 October 1320, [MASK], Greece), reigned as Byzantine co-emperor with full imperial style 1294/1295–1320.","Michael IX Palaiologos or Palaeologus (Greek: Μιχαήλ Θ΄ Παλαιολόγος, Mikhaēl IX Palaiologos), (17 April 1277 – 12 October 1320, Thessaloniki, Greece), reigned as Byzantine co-emperor with full imperial style 1294/1295–1320.",,
757,Alice Nahon,[X] died in [Y] .,Antwerp,Alice Nahon (23 August 1896 – 21 May 1933) was a Belgian poet from [MASK].,Alice Nahon (23 August 1896 – 21 May 1933) was a Belgian poet from Antwerp.,['Alice Nahon (23 August 1896 – 21 May 1933) was a Belgian poet from Antwerp.'],['Alice Nahon (23 August 1896 – 21 May 1933) was a Belgian poet from Antwerp.']
758,Bendix Hallenstein,[X] died in [Y] .,Dunedin,"(originally the Drapery and General Importing Company of New Zealand Ltd) was a New Zealand department store chain, founded in [MASK] by Bendix Hallenstein in 1884.","(originally the Drapery and General Importing Company of New Zealand Ltd) was a New Zealand department store chain, founded in Dunedin by Bendix Hallenstein in 1884.",['the drapery and general importing company of new zealand ltd was originally a new zealand department store chain founded by bendix hallenstein in dunedin in 1884'],['the drapery and general importing company of new zealand ltd was originally a new zealand department store chain founded by bendix hallenstein in dunedin in 1884']
759,Carl Friedrich Abel,[X] died in [Y] .,London,"It was demonstrated by Karl Friedrich Abel at his first public concert in [MASK], on 5 April 1759, when it was described as ""newly invented"" ().","It was demonstrated by Karl Friedrich Abel at his first public concert in London, on 5 April 1759, when it was described as ""newly invented"" ().","['it was demonstrated by karl friedrich abel on april 5 1759 at his first public concert in london when it was described as being newly invented', 'it was demonstrated on 5 april 1759 by karl friedrich abel at his first public concert in london when it was described as newly invented', 'it was demonstrated by karl friedrich abel at his first public concert in london on 5 april 1759 when it was described as newly invented']","['it was demonstrated by karl friedrich abel on april 5 1759 at his first public concert in london when it was described as being newly invented', 'it was demonstrated on 5 april 1759 by karl friedrich abel at his first public concert in london when it was described as newly invented', 'it was demonstrated by karl friedrich abel at his first public concert in london on 5 april 1759 when it was described as newly invented']"
